datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
25-10-2019,"2,30,34,35,45","1,2","825,127","25,933,414"
01-11-2019,"3,17,31,34,40","1,2","971,323","28,173,228"
08-11-2019,"14,20,23,39,49","4,10","1,115,953","32,866,599"
15-11-2019,"10,19,24,30,39","2,4","1,543,440","39,870,233"
22-11-2019,"3,12,24,37,38","3,7","2,052,799","41,958,109"
29-11-2019,"2,3,30,31,45","6,8","735,385","21,361,137"
06-12-2019,"8,14,23,30,45","1,9","787,375","22,468,964"
13-12-2019,"25,31,38,49,50","5,10","703,954","21,430,892"
20-12-2019,"12,20,21,22,35","4,10","719,587","20,533,801"
27-12-2019,"7,12,28,34,45","3,6","889,107","20,326,576"
03-01-2020,"6,27,30,35,41","4,5","791,028","21,841,048"
10-01-2020,"4,14,25,34,49","4,9","934,401","24,421,541"
17-01-2020,"1,23,32,45,49","5,10","915,404","27,789,303"
24-01-2020,"5,12,20,29,48","7,9","1,223,986","30,820,576"
31-01-2020,"1,7,12,23,39","3,4","1,577,924","36,410,095"
07-02-2020,"7,16,22,36,44","3,4","1,766,281","42,849,053"
14-02-2020,"2,6,30,32,49","1,4","734,612","21,799,279"
21-02-2020,"2,13,39,45,47","4,6","839,027","22,851,081"
28-02-2020,"12,22,24,29,38","5,6","990,528","24,219,597"
06-03-2020,"15,19,35,36,41","5,10","890,523","26,660,014"
13-03-2020,"1,17,29,39,42","7,8","1,118,511","29,379,144"
20-03-2020,"9,14,28,30,37","3,10","1,006,684","27,588,722"
27-03-2020,"13,19,23,34,41","3,8","1,359,195","31,017,236"
03-04-2020,"3,21,26,40,41","8,10","1,163,608","36,235,144"
10-04-2020,"2,7,8,43,50","2,3","1,418,540","36,823,339"
17-04-2020,"1,18,23,33,41","2,6","1,477,888","39,393,189"
24-04-2020,"6,13,15,34,35","1,5","1,554,107","42,024,820"
01-05-2020,"6,11,12,21,41","1,2","1,577,974","44,091,732"
08-05-2020,"9,11,15,36,43","8,9","812,567","22,216,936"
15-05-2020,"21,27,29,34,49","8,10","737,135","22,082,662"
22-05-2020,"12,15,32,40,45","7,10","774,751","22,892,454"
29-05-2020,"8,22,31,32,36","6,10","789,768","24,757,645"
05-06-2020,"9,16,17,29,39","1,8","789,396","20,975,737"
12-06-2020,"7,16,22,30,48","2,8","884,613","22,169,843"
19-06-2020,"2,22,33,38,47","2,9","925,160","24,086,336"
26-06-2020,"14,16,32,34,47","7,9","957,793","25,596,435"
03-07-2020,"12,34,36,47,48","5,7","848,932","21,439,426"
10-07-2020,"5,6,9,15,29","4,9","963,947","23,185,557"
17-07-2020,"13,21,25,34,35","5,10","912,418","24,859,411"
24-07-2020,"7,11,19,32,43","2,8","1,196,652","26,935,562"
31-07-2020,"3,19,28,43,49","2,3","1,210,153","30,080,210"
07-08-2020,"4,9,15,24,28","2,6","1,384,991","33,745,693"
14-08-2020,"9,20,27,35,48","5,9","840,010","21,959,302"
21-08-2020,"26,27,30,46,49","1,2","752,742","23,212,642"
28-08-2020,"8,11,22,38,41","4,7","1,091,977","25,029,208"
04-09-2020,"5,23,28,38,49","3,9","885,440","21,592,522"
11-09-2020,"2,5,24,43,45","4,10","778,354","23,096,785"
18-09-2020,"7,12,14,40,42","7,8","875,839","21,075,741"
25-09-2020,"1,7,9,29,46","9,10","785,466","22,277,000"
