datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
26-01-2024,"18,23,35,37,41","6,7","698,328","21,145,579"
30-01-2024,"10,12,15,46,48","9,11","404,597","14,740,364"
02-02-2024,"13,17,21,30,39","8,11","700,530","23,772,200"
06-02-2024,"16,19,20,26,44","1,4","522,297","16,874,927"
09-02-2024,"4,10,11,20,22","7,10","893,924","25,640,977"
13-02-2024,"7,20,22,45,48","10,12","330,175","12,570,383"
16-02-2024,"7,11,17,18,34","3,5","834,157","19,992,536"
20-02-2024,"1,3,11,15,30","4,10","436,847","13,630,592"
23-02-2024,"10,19,22,37,41","2,6","720,176","21,592,898"
27-02-2024,"15,17,30,38,49","1,11","311,148","12,003,518"
01-03-2024,"13,26,30,34,41","3,7","752,175","20,222,032"
05-03-2024,"2,20,30,31,40","8,12","357,537","13,566,539"
08-03-2024,"2,11,17,23,49","4,12","681,732","21,792,111"
12-03-2024,"2,8,11,16,20","4,10","460,162","12,230,151"
15-03-2024,"16,20,25,30,49","3,10","655,733","19,891,477"
19-03-2024,"1,20,28,32,49","3,10","438,451","13,433,593"
22-03-2024,"5,17,36,37,50","3,7","810,066","20,996,473"
26-03-2024,"12,15,17,30,32","1,6","500,571","14,949,585"
29-03-2024,"7,11,30,31,39","5,10","800,594","22,933,877"
02-04-2024,"14,17,29,32,45","1,2","517,577","15,650,665"
05-04-2024,"5,8,16,30,37","1,10","826,138","25,946,053"
09-04-2024,"1,7,21,27,43","1,3","727,606","20,219,730"
12-04-2024,"1,34,39,47,49","1,12","821,031","31,686,858"
16-04-2024,"35,36,37,41,48","1,12","733,655","27,915,346"
19-04-2024,"8,14,21,34,36","1,2","1,390,120","43,059,970"
23-04-2024,"2,3,6,15,35","1,3","1,336,156","38,730,831"
26-04-2024,"3,18,23,29,47","5,12","666,706","21,619,807"
30-04-2024,"4,20,33,37,45","8,9","509,136","14,884,533"
03-05-2024,"9,17,36,40,45","5,7","729,856","20,868,888"
07-05-2024,"3,11,32,33,35","3,11","539,639","15,597,108"
10-05-2024,"28,31,39,45,49","8,11","634,595","22,923,033"
14-05-2024,"19,22,23,24,27","1,6","638,036","17,747,434"
17-05-2024,"1,2,29,36,48","1,11","709,727","26,375,508"
21-05-2024,"7,23,31,33,38","10,11","619,664","19,843,040"
24-05-2024,"2,3,4,21,45","6,12","883,135","30,256,835"
28-05-2024,"13,26,27,35,46","3,4","965,835","26,325,571"
31-05-2024,"4,23,34,39,45","6,7","1,353,240","39,895,890"
04-06-2024,"1,3,24,43,49","2,4","1,198,639","36,671,462"
07-06-2024,"8,15,29,37,45","5,10","723,783","21,486,933"
11-06-2024,"4,12,16,29,31","1,9","506,478","14,512,923"
14-06-2024,"10,21,27,42,46","2,6","722,135","21,774,519"
18-06-2024,"4,10,23,24,45","7,8","590,755","15,740,722"
21-06-2024,"2,22,24,30,40","5,6","753,530","23,022,859"
25-06-2024,"8,14,25,31,45","3,12","545,989","17,055,471"
28-06-2024,"1,8,30,43,45","10,12","677,557","25,668,650"
02-07-2024,"10,29,30,32,40","6,12","597,431","20,642,049"
05-07-2024,"4,11,16,25,32","1,11","897,055","29,834,713"
09-07-2024,"5,14,25,26,44","8,10","855,809","25,216,306"
12-07-2024,"2,14,30,32,34","3,4","695,123","20,344,654"
16-07-2024,"8,22,27,36,43","5,8","543,668","14,244,770"
19-07-2024,"13,18,22,26,32","10,11","610,550","20,940,600"
23-07-2024,"9,13,21,24,38","6,12","523,889","15,723,379"
26-07-2024,"7,11,22,26,46","5,11","754,462","22,870,029"
30-07-2024,"2,16,30,31,49","2,5","447,990","13,148,561"
02-08-2024,"14,20,26,30,31","1,2","634,477","20,329,507"
06-08-2024,"4,9,22,32,35","9,10","497,847","14,618,968"
09-08-2024,"15,18,25,29,35","1,5","726,127","21,905,971"
13-08-2024,"6,9,33,34,50","1,7","547,845","16,114,745"
16-08-2024,"4,11,16,46,50","1,3","741,470","23,290,747"
20-08-2024,"25,28,29,31,33","6,12","529,504","17,667,416"
23-08-2024,"13,21,22,26,48","2,7","967,058","26,043,135"
27-08-2024,"15,24,29,33,39","2,9","728,675","20,679,353"
30-08-2024,"8,11,25,31,48","11,12","924,940","33,165,720"
03-09-2024,"5,17,23,36,37","5,9","570,923","14,253,403"
06-09-2024,"7,11,27,42,45","3,10","727,846","19,540,137"
10-09-2024,"7,10,31,41,46","1,5","449,891","14,260,891"
13-09-2024,"2,3,17,40,44","4,8","832,425","22,773,280"
17-09-2024,"1,3,13,24,44","11,12","470,300","15,622,125"
20-09-2024,"9,17,19,26,39","4,10","827,054","22,999,290"
24-09-2024,"3,13,34,41,43","1,5","547,186","16,830,854"
27-09-2024,"6,15,25,29,41","1,3","820,252","25,374,367"
01-10-2024,"17,37,42,45,50","6,7","652,884","19,853,444"
04-10-2024,"4,16,27,34,44","4,7","1,123,554","29,052,038"
08-10-2024,"13,29,42,44,48","2,8","461,345","13,524,852"
11-10-2024,"8,11,23,44,45","10,12","596,107","20,308,845"
15-10-2024,"9,20,38,44,45","4,12","433,861","14,784,102"
18-10-2024,"2,4,23,30,40","4,10","724,667","22,276,604"
22-10-2024,"4,32,36,38,47","3,9","568,860","16,261,537"
25-10-2024,"2,19,36,42,50","4,9","792,977","24,248,111"
29-10-2024,"3,17,26,30,49","1,10","583,352","17,910,802"
01-11-2024,"13,21,27,28,41","1,3","930,330","26,381,834"
05-11-2024,"22,29,36,38,43","1,6","673,761","21,534,376"
08-11-2024,"6,23,38,42,45","9,12","987,920","33,726,865"
12-11-2024,"2,3,34,38,49","10,11","900,464","30,570,285"
15-11-2024,"27,31,35,46,50","3,10","1,401,964","45,837,983"
19-11-2024,"4,7,19,26,27","4,5","1,509,064","37,988,308"
22-11-2024,"6,10,30,34,41","7,10","1,559,796","49,364,304"
26-11-2024,"20,21,28,32,37","1,5","1,273,167","41,207,756"
29-11-2024,"10,19,24,25,40","5,9","1,838,256","53,256,424"
03-12-2024,"7,20,23,24,37","4,10","1,649,453","46,044,361"
06-12-2024,"8,14,45,47,50","2,12","1,527,375","54,881,591"
10-12-2024,"17,23,30,41,43","4,11","524,491","16,804,179"
13-12-2024,"1,4,19,35,42","1,3","804,350","24,272,868"
17-12-2024,"11,14,18,35,42","4,11","481,106","14,894,442"
20-12-2024,"1,3,10,32,44","1,8","744,277","22,406,338"
24-12-2024,"9,15,28,36,39","6,7","703,940","19,234,615"
27-12-2024,"1,9,25,27,37","6,8","778,173","22,247,567"
31-12-2024,"2,21,26,34,49","7,12","765,223","24,210,964"
03-01-2025,"1,20,21,27,29","8,10","824,409","25,929,468"
07-01-2025,"1,16,20,23,44","5,9","735,262","20,376,358"
10-01-2025,"17,34,38,42,48","2,11","916,411","29,914,196"
14-01-2025,"10,11,17,20,30","2,6","554,875","14,834,478"
17-01-2025,"7,9,14,18,31","7,8","873,905","21,657,901"
21-01-2025,"3,17,22,28,40","4,9","590,449","15,805,264"
24-01-2025,"2,9,16,46,47","3,9","805,713","23,234,232"
28-01-2025,"2,7,28,43,46","5,12","534,764","17,379,909"
31-01-2025,"1,23,32,42,47","4,11","736,729","25,905,681"
04-02-2025,"10,18,21,41,42","3,9","699,870","20,391,080"
07-02-2025,"15,17,27,33,45","5,9","1,099,338","29,514,584"
11-02-2025,"3,12,22,28,47","1,12","780,457","24,982,314"
14-02-2025,"12,14,18,45,50","2,10","682,671","21,483,314"
18-02-2025,"1,9,14,19,44","2,3","518,044","14,202,645"
21-02-2025,"18,26,29,35,36","11,12","532,642","21,253,279"
25-02-2025,"28,31,38,42,48","3,10","488,449","15,666,225"
28-02-2025,"3,4,13,20,21","8,12","747,383","23,475,023"
04-03-2025,"4,12,35,37,48","4,10","581,344","17,555,712"
07-03-2025,"7,11,12,32,42","1,4","866,571","25,281,138"
11-03-2025,"15,18,22,23,44","1,11","616,529","20,179,274"
14-03-2025,"6,13,28,37,45","5,10","1,001,941","29,446,401"
18-03-2025,"1,7,14,47,50","3,7","887,067","23,684,749"
21-03-2025,"8,9,12,14,16","6,12","1,153,344","35,751,350"
25-03-2025,"3,11,30,35,50","4,5","1,039,210","32,173,979"
28-03-2025,"2,15,19,34,49","2,6","750,103","21,402,244"
01-04-2025,"12,17,39,41,50","9,12","457,574","15,285,874"
04-04-2025,"19,23,29,37,38","2,8","809,482","22,150,544"
08-04-2025,"17,39,40,41,47","5,8","539,536","16,832,840"
11-04-2025,"2,26,27,28,49","1,10","738,596","24,335,639"
15-04-2025,"8,11,13,33,35","1,10","635,258","19,041,457"
18-04-2025,"7,8,12,29,44","3,12","876,120","25,830,806"
22-04-2025,"10,16,23,29,38","3,5","732,917","19,766,444"
25-04-2025,"13,14,40,43,45","5,8","1,009,464","30,746,416"
29-04-2025,"17,21,27,30,34","8,11","910,011","27,516,631"
02-05-2025,"3,15,22,33,35","1,7","1,368,125","39,456,802"
06-05-2025,"1,21,22,46,49","9,10","1,102,512","37,567,356"
09-05-2025,"1,5,27,36,43","5,9","1,594,487","46,640,881"
13-05-2025,"14,16,19,33,34","5,12","522,850","16,145,011"
16-05-2025,"6,8,15,27,39","6,12","683,770","21,771,134"
20-05-2025,"8,19,20,21,28","7,10","606,690","16,613,516"
23-05-2025,"11,17,19,33,40","7,12","758,273","23,486,448"
27-05-2025,"6,9,17,25,41","4,10","514,608","14,647,000"
30-05-2025,"4,5,26,29,43","5,9","765,992","21,112,382"
03-06-2025,"6,8,19,26,30","1,12","457,400","14,328,063"
06-06-2025,"7,8,11,23,39","5,11","753,993","21,199,612"
10-06-2025,"1,17,20,28,42","2,12","459,718","15,056,017"
13-06-2025,"1,15,18,27,46","5,9","834,397","24,196,808"
17-06-2025,"10,13,15,33,35","7,12","571,797","17,149,602"
20-06-2025,"6,12,18,37,46","7,9","691,220","19,367,061"
24-06-2025,"20,31,35,40,44","3,4","454,944","14,556,822"
27-06-2025,"4,14,26,29,50","3,12","642,420","21,513,958"
01-07-2025,"1,9,10,12,14","6,8","627,159","16,707,426"
04-07-2025,"14,23,34,41,44","5,10","785,525","23,863,297"
08-07-2025,"21,27,29,34,43","6,10","603,381","18,746,619"
11-07-2025,"6,12,13,43,46","6,11","811,002","26,776,362"
15-07-2025,"13,28,33,37,45","6,11","712,853","22,171,142"
18-07-2025,"10,12,21,25,39","2,4","1,104,480","31,174,303"
22-07-2025,"5,20,42,46,48","7,8","865,036","27,866,198"
25-07-2025,"7,8,13,29,36","4,8","1,576,730","40,543,829"
29-07-2025,"20,21,38,43,49","6,11","446,702","15,456,193"
01-08-2025,"4,11,12,20,33","3,5","897,756","21,775,611"
05-08-2025,"1,18,21,22,34","1,6","543,361","16,483,681"
08-08-2025,"7,16,23,41,42","1,4","764,593","23,637,236"
12-08-2025,"11,16,29,37,42","1,11","430,050","14,626,971"
15-08-2025,"5,11,20,33,43","6,12","614,472","20,595,360"
19-08-2025,"3,4,11,33,47","6,9","590,060","16,065,773"
22-08-2025,"3,14,16,22,34","7,10","799,082","22,758,555"
26-08-2025,"8,14,21,26,35","4,8","690,197","17,861,929"
29-08-2025,"3,5,19,23,48","1,5","940,679","25,981,794"
02-09-2025,"1,5,12,38,47","7,8","729,472","21,324,731"
05-09-2025,"6,14,25,29,46","7,11","903,609","29,706,797"
09-09-2025,"14,18,24,27,50","8,9","871,561","25,358,688"
12-09-2025,"7,22,24,33,45","4,12","1,241,797","39,084,413"
16-09-2025,"8,9,14,37,39","1,9","1,131,052","34,480,216"
19-09-2025,"9,37,40,41,46","1,12","1,168,584","45,593,153"
23-09-2025,"7,18,31,32,33","10,11","1,165,313","38,141,505"
26-09-2025,"12,24,26,35,48","1,2","701,457","21,971,351"
30-09-2025,"8,11,13,24,27","3,7","757,023","16,175,309"
03-10-2025,"1,2,7,21,27","8,12","728,599","22,153,976"
07-10-2025,"10,22,38,42,48","2,9","575,644","17,718,611"
10-10-2025,"4,5,24,31,41","3,12","737,571","25,182,395"
14-10-2025,"8,12,13,49,50","2,4","670,636","19,999,024"
17-10-2025,"18,21,34,35,46","2,3","904,118","27,839,537"
21-10-2025,"6,21,30,40,46","3,4","467,966","15,036,986"
24-10-2025,"12,13,27,42,43","3,4","797,232","21,547,598"
28-10-2025,"3,4,22,45,50","9,12","464,369","16,003,287"
31-10-2025,"5,11,40,41,47","1,5","723,750","23,517,929"
04-11-2025,"3,21,22,33,39","1,9","610,308","18,121,591"
07-11-2025,"13,19,22,35,40","2,8","917,355","25,743,055"
11-11-2025,"8,24,25,41,50","8,9","460,603","14,411,418"
14-11-2025,"3,5,20,30,37","6,12","628,502","21,173,974"
18-11-2025,"19,25,27,41,49","3,9","570,403","15,821,155"
21-11-2025,"15,24,30,45,50","5,6","690,701","22,569,262"
25-11-2025,"1,23,30,35,46","4,8","456,375","13,867,813"
28-11-2025,"12,16,35,46,50","3,5","696,989","21,105,832"
02-12-2025,"14,30,34,35,40","4,6","491,529","15,817,489"
05-12-2025,"1,4,18,22,24","6,10","671,268","19,870,299"
09-12-2025,"2,30,32,33,37","2,9","443,857","13,834,573"
12-12-2025,"2,25,27,37,50","2,11","609,980","20,719,167"
16-12-2025,"12,22,28,30,31","4,11","503,490","15,577,741"
19-12-2025,"8,9,15,35,45","2,5","793,605","22,941,512"
23-12-2025,"24,29,35,40,41","6,7","624,022","20,091,333"
26-12-2025,"15,21,26,29,42","4,12","650,668","22,033,985"
30-12-2025,"10,18,20,23,27","1,6","840,240","24,445,571"
